id,title,price,date,place,link
"9139528","Сбд-ийн 1-р хороо солонгос элчингийн урьд, 4 өрөө 117м2 байр","585 сая ₮ 680 сая ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 1","https://www.unegui.mn/adv/9139528_sbd-iin-1-r-khoroo-khuuchin-solongos-elchingiin-urd-4-oroo-bair-zarna/"
"10118471","Худ зайсан peace village 2 өрөө 50м2","160 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Хан-Уул, Хороо 11","https://www.unegui.mn/adv/10118471_khud-zaisan-peace-village/"
"9997063","Vip residence 2-r eelj 3 uruu bair 77.5 m2","410 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Яармаг","https://www.unegui.mn/adv/9997063_vip-residence-2r-eelj-3-uruu-bair/"
"10118443","Nisehed 44.8 mkv 2 oroo","122 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Буянт Ухаа хороолол","https://www.unegui.mn/adv/10118443_udahgui-ashiglaltand-oroh-2-uruu-bair-mash-hymd-ugluu/"
"10062690","Зүүн 4 зам американ дэнжийн ард 2 өрөө байр 54м2","210 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Зүүн 4 зам","https://www.unegui.mn/adv/10062690_zuun-4-zam-amerikan-denzhiin-ard-2-oroo-bair-khudaldana/"
"9184951","Худ зайсан vip apartment 2 өрөө 65мкв байр","295 сая ₮ 370 сая ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, Зайсан","https://www.unegui.mn/adv/9184951_zaisan-vip-apartment-2-oroo-67-37mkv/"
"9961863","Cбд сentury luxury apartment-д 120 мкв 3 өрөө орон сууц","1.09 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Сүхбаатар, Сүхбаатар, Хороо 3","https://www.unegui.mn/adv/9961863_century-luxury-apartment-d-120-mzv-3-oroo-orlg-suuts-khudaldana/"
"9933801","River tower 𝟑𝟔𝟔.𝟕 мкв 𝟖 өрөө орон сууц","3.3 Тэрбум ₮","2 долоо хоногийн өмнө","УБ — Хан-Уул, River Garden","https://www.unegui.mn/adv/9933801_river-tower-366-7-mkv-8-oroo-oron-suuts-khudaldana/"
"10021340","Бзд, 16-р хороо, оффицерын тойргийн зүүн хойно 2 өрөө байр","165 сая ₮","2 долоо хоногийн өмнө","УБ — Баянзүрх, Баянзүрх, Хороо 16","https://www.unegui.mn/adv/10021340_bzd-16-r-khoroo-offitseryn-toirgiin-zuun-khoino-2oroo-bair-khudaldana/"
"10026857","Алтай хотхонд 60.62 м.кв 3 өрөө","225 сая ₮","2 долоо хоногийн өмнө","УБ — Баянгол, Алтай хотхон","https://www.unegui.mn/adv/10026857_altai-khotkhond-60-62-m-kv-3-oroo/"
